feature,importance_mean,importance_std
pct_alfabetizados_2023,0.05523837161255789,0.011415630036780746
sigla_uf,0.024572288415685917,0.008659242765072728
pct_escolas_privadas,0.010832830514891256,0.0023014589631185534
media_salas_utilizadas,0.008435194917566734,0.0022581565212823717
numero_escolas,0.006731793693440136,0.0024407804363934223
pct_urbana_2022,0.005910238591102257,0.0020699452064691843
pct_escolas_auditorio,0.005361521467687158,0.0022710315659513996
pct_escolas_agua_rede_publica,0.0027511282286384886,0.0011715419940688222
tipo_dependencia,0.0023648911077740033,0.003573890118513227
pct_escolas_municipais,0.0019669755593628045,0.0005818456146963072
pct_escolas_quadra_esportes,0.0017174225494411722,0.000985577841340024
pct_escolas_lab_informatica,0.0017151696268377537,0.005936029222781989
pct_escolas_esgoto_rede_publica,0.0016688666390195285,0.0005223237319352929
pct_escolas_internet,0.0013787109639842089,0.0003651083132083526
pib_per_capita_2022,0.001349044851893666,0.0001807472876112718
media_equip_multimidia,0.0013476616540847753,0.0001374564744899266
pct_escolas_patio_descoberto,0.0013435522361319395,0.0002969008846637183
media_notebook_aluno,0.0013032253200371934,0.00016156509879940365
pct_escolas_energia_rede_publica,0.0012452382830236309,0.0003116186131244093
media_desktop_aluno,0.0012123365986926205,0.0003010289235471167
pct_escolas_banda_larga,0.001012669580875969,0.0003093915228214785
pct_escolas_agua_potavel,0.0008822488088491953,0.0002384021536553623
media_tablet_aluno,0.0007044603820015149,0.00048375888174784996
pct_escolas_biblioteca_ou_sala_leitura,0.00021165410855866762,0.002286834460044309
pct_escolas_refeitorio,0.00014957256330943024,0.0022135665278351637
meta_2024,-0.0006847550581809192,0.0037475864509016413
pct_escolas_patio_coberto,-0.0011276315486235312,0.0005491839098339774
populacao_2022,-0.003135508231279338,0.0034225427653867633
pct_escolas_estaduais,-0.005204892286802843,0.0037631903383962347
pct_escolas_coleta_lixo,-0.006808860518969562,0.006406475610971761
pct_escolas_urbanas,-0.0088912892176355,0.0034246923120643505
