variavel,correlacao_com_target,abs_correlacao
alfabetizado_oficial,-1.0,1.0
preenchimento_lp,-0.3976938380697622,0.3976938380697622
presenca_lp,-0.3973321321520376,0.3973321321520376
pct_alfabetizados_2023,-0.201685236737283,0.201685236737283
meta_2024,-0.19378941460337942,0.19378941460337942
pct_escolas_lab_informatica,-0.09111431068461287,0.09111431068461287
pct_escolas_agua_potavel,-0.06679540317141947,0.06679540317141947
pct_escolas_quadra_esportes,-0.05996231332692766,0.05996231332692766
peso_aluno_lp,0.05701410576147249,0.05701410576147249
pct_escolas_biblioteca,-0.0564713324858958,0.0564713324858958
pct_escolas_biblioteca_ou_sala_leitura,-0.05071658341895708,0.05071658341895708
pct_escolas_energia_rede_publica,-0.04843653128044172,0.04843653128044172
pct_escolas_internet,-0.04265985749568793,0.04265985749568793
pct_escolas_coleta_lixo,-0.042505414952760646,0.042505414952760646
codigo_regiao,-0.041887531216039726,0.041887531216039726
pop_rural_2022,0.038586420045794954,0.038586420045794954
pct_escolas_patio_coberto,-0.03618880065981179,0.03618880065981179
tipo_dependencia,0.030243793003941356,0.030243793003941356
pct_escolas_agua_rede_publica,-0.02768951649701164,0.02768951649701164
pct_escolas_sala_leitura,0.027318474184669494,0.027318474184669494
pct_escolas_patio_descoberto,-0.026409694399479364,0.026409694399479364
pct_escolas_privadas,0.02626744172266984,0.02626744172266984
pct_urbana_2022,0.021870927286567397,0.021870927286567397
pct_rural_2022,-0.02187092728656738,0.02187092728656738
codigo_municipio,-0.020097308086885143,0.020097308086885143
pct_escolas_banda_larga,-0.01967920993100829,0.01967920993100829
codigo_regiao_intermediaria,-0.01950050647438486,0.01950050647438486
codigo_mesorregiao,-0.019418342480508274,0.019418342480508274
codigo_microrregiao,-0.019414490043770005,0.019414490043770005
codigo_regiao_imediata,-0.01939926236122379,0.01939926236122379
codigo_uf_ibge,-0.019391131715905306,0.019391131715905306
codigo_uf,-0.019391131715905306,0.019391131715905306
pct_escolas_municipais,-0.01920746636739645,0.01920746636739645
id_aluno,-0.019204595234373484,0.019204595234373484
media_equip_multimidia,-0.018333353043479873,0.018333353043479873
pib_2022_mil_reais,0.017743759053632385,0.017743759053632385
media_notebook_aluno,-0.01694435095315515,0.01694435095315515
pop_total_urbano_rural_2022,0.016685091275881168,0.016685091275881168
populacao_2022,0.016685091275881168,0.016685091275881168
pct_escolas_esgoto_rede_publica,-0.01663926705175338,0.01663926705175338
pop_urbana_2022,0.01650153814300663,0.01650153814300663
numero_escolas,0.015782687943546266,0.015782687943546266
pct_escolas_urbanas,-0.015582813188506796,0.015582813188506796
pct_escolas_rurais,0.01558281318850679,0.01558281318850679
media_desktop_aluno,-0.013808316845020322,0.013808316845020322
pct_escolas_refeitorio,-0.011913821826157628,0.011913821826157628
media_salas_utilizadas,-0.011343663862933612,0.011343663862933612
pct_escolas_estaduais,-0.01060284001090792,0.01060284001090792
pib_per_capita_2022,0.010484633618680714,0.010484633618680714
pct_escolas_auditorio,-0.008824117117405703,0.008824117117405703
id_escola,-0.007316067023302366,0.007316067023302366
media_tablet_aluno,-0.0029901443588859285,0.0029901443588859285
codigo_caderno_lp,-0.002673429802320331,0.002673429802320331
pct_escolas_federais,0.0018032972178775154,0.0018032972178775154
