sigla_uf,alunos,taxa_risco,taxa_risco_pct
AC,32,0.75,75.0
AL,95,0.5368421052631579,53.68421052631579
AM,136,0.5294117647058824,52.94117647058824
AP,38,0.5789473684210527,57.89473684210527
BA,276,0.7028985507246377,70.28985507246377
CE,183,0.13114754098360656,13.114754098360656
DF,65,0.5846153846153846,58.46153846153847
ES,115,0.4260869565217391,42.608695652173914
GO,181,0.35911602209944754,35.91160220994475
MA,170,0.4823529411764706,48.23529411764706
MG,527,0.3567362428842505,35.673624288425046
MS,100,0.4,40.0
MT,126,0.47619047619047616,47.61904761904761
PA,249,0.5903614457831325,59.036144578313255
PB,87,0.5287356321839081,52.87356321839081
PE,191,0.36649214659685864,36.64921465968586
PI,68,0.36764705882352944,36.76470588235294
PR,330,0.40606060606060607,40.60606060606061
RJ,316,0.5316455696202531,53.16455696202531
RN,56,0.6428571428571429,64.28571428571429
RO,57,0.43859649122807015,43.859649122807014
RS,261,0.5900383141762452,59.00383141762452
SC,235,0.5829787234042553,58.29787234042553
SE,46,0.6304347826086957,63.04347826086957
SP,1016,0.4675196850393701,46.75196850393701
TO,44,0.6136363636363636,61.36363636363637
