metrica,modelo_com_sigla_uf,modelo_sem_sigla_uf,delta_absoluto,delta_percentual
accuracy,0.566,0.579,0.013000000000000012,2.296819787985868
balanced_accuracy,0.5651719037483315,0.5798128840626766,0.014640980314345131,2.590535767479463
precision_risco,0.5448851774530271,0.5544747081712063,0.00958953071817914,1.7599177065164016
recall_risco,0.5471698113207547,0.5974842767295597,0.05031446540880502,9.195402298850572
f1_risco,0.5460251046025104,0.5751765893037336,0.029151484701223196,5.338854286277659
roc_auc,0.6112694461480492,0.6026351760324847,-0.008634270115564502,-1.412514590737991
pr_auc,0.5651118863491734,0.5470818882245323,-0.018029998124641122,-3.1905182956107
