codigo_municipio,numero_escolas,nome_municipio_censo,sigla_uf_censo,codigo_uf_censo,pct_escolas_urbanas,pct_escolas_rurais,pct_escolas_federais,pct_escolas_estaduais,pct_escolas_municipais,pct_escolas_privadas,pct_escolas_internet,pct_escolas_banda_larga,pct_escolas_biblioteca,pct_escolas_sala_leitura,pct_escolas_biblioteca_ou_sala_leitura,pct_escolas_lab_informatica,pct_escolas_agua_potavel,pct_escolas_agua_rede_publica,pct_escolas_energia_rede_publica,pct_escolas_esgoto_rede_publica,pct_escolas_coleta_lixo,pct_escolas_quadra_esportes,pct_escolas_patio_coberto,pct_escolas_patio_descoberto,pct_escolas_refeitorio,pct_escolas_auditorio,media_salas_utilizadas,media_equip_multimidia,media_desktop_aluno,media_notebook_aluno,media_tablet_aluno
1100015,31,Alta Floresta D'Oeste,RO,11,51.61290322580645,48.38709677419355,0.0,38.70967741935484,58.06451612903226,3.225806451612903,85.18518518518519,52.17391304347826,33.33333333333333,22.22222222222222,40.74074074074074,22.22222222222222,100.0,25.925925925925924,81.48148148148148,0.0,48.148148148148145,55.55555555555556,77.77777777777779,18.51851851851852,37.03703703703704,7.4074074074074066,8.25925925925926,3294.296296296296,4.444444444444445,1.9259259259259258,0.07407407407407407
1100023,55,Ariquemes,RO,11,78.18181818181819,21.818181818181817,1.8181818181818181,20.0,54.54545454545454,23.636363636363637,100.0,84.31372549019608,62.745098039215684,27.450980392156865,70.58823529411765,78.43137254901961,98.0392156862745,78.43137254901961,100.0,3.9215686274509802,100.0,66.66666666666666,88.23529411764706,45.09803921568628,70.58823529411765,41.17647058823529,13.07843137254902,3.627450980392157,1762.0,1745.8235294117646,0.9019607843137255
1100031,9,Cabixi,RO,11,77.77777777777779,22.22222222222222,0.0,44.44444444444444,44.44444444444444,11.11111111111111,100.0,55.55555555555556,44.44444444444444,11.11111111111111,44.44444444444444,55.55555555555556,88.88888888888889,55.55555555555556,100.0,0.0,100.0,66.66666666666666,66.66666666666666,55.55555555555556,88.88888888888889,0.0,7.333333333333333,1.7777777777777777,12.11111111111111,1.4444444444444444,0.0
1100049,65,Cacoal,RO,11,70.76923076923077,29.230769230769234,1.5384615384615385,35.38461538461539,41.53846153846154,21.53846153846154,100.0,76.5625,64.0625,20.3125,64.0625,45.3125,100.0,67.1875,98.4375,59.375,79.6875,51.5625,65.625,56.25,68.75,14.0625,10.234375,4.265625,16.390625,3.375,7.890625
1100056,15,Cerejeiras,RO,11,93.33333333333333,6.666666666666667,0.0,33.33333333333333,46.666666666666664,20.0,100.0,53.333333333333336,40.0,26.666666666666668,60.0,40.0,93.33333333333333,66.66666666666666,100.0,86.66666666666667,93.33333333333333,53.333333333333336,93.33333333333333,46.666666666666664,60.0,13.333333333333334,8.333333333333334,4.466666666666667,10.066666666666666,1.0666666666666667,0.06666666666666667
1100064,15,Colorado do Oeste,RO,11,66.66666666666666,33.33333333333333,6.666666666666667,20.0,60.0,13.333333333333334,100.0,86.66666666666667,80.0,26.666666666666668,80.0,53.333333333333336,100.0,66.66666666666666,100.0,0.0,73.33333333333333,60.0,93.33333333333333,33.33333333333333,53.333333333333336,20.0,13.6,2.0,13.533333333333333,6.533333333333333,2.3333333333333335
1100072,10,Corumbiara,RO,11,50.0,50.0,0.0,50.0,50.0,0.0,100.0,62.5,62.5,0.0,62.5,75.0,100.0,50.0,100.0,0.0,100.0,62.5,100.0,50.0,100.0,0.0,8.125,2.125,10.5,5.75,0.0
1100080,15,Costa Marques,RO,11,73.33333333333333,26.666666666666668,0.0,26.666666666666668,66.66666666666666,6.666666666666667,100.0,53.84615384615385,61.53846153846154,23.076923076923077,61.53846153846154,23.076923076923077,100.0,46.15384615384615,100.0,0.0,100.0,38.46153846153847,69.23076923076923,7.6923076923076925,76.92307692307693,15.384615384615385,8.461538461538462,1.3846153846153846,5.461538461538462,2.6923076923076925,0.0
1100098,27,Espigão D'Oeste,RO,11,55.55555555555556,44.44444444444444,0.0,55.55555555555556,37.03703703703704,7.4074074074074066,95.83333333333334,78.26086956521739,62.5,0.0,62.5,37.5,100.0,66.66666666666666,100.0,4.166666666666666,70.83333333333334,58.333333333333336,91.66666666666666,25.0,58.333333333333336,0.0,9.708333333333334,3707.0416666666665,8.041666666666666,10.958333333333334,3.625
1100106,76,Guajará-Mirim,RO,11,46.05263157894737,53.94736842105263,1.3157894736842104,55.26315789473685,31.57894736842105,11.842105263157894,55.73770491803278,88.23529411764706,32.78688524590164,21.311475409836063,44.26229508196721,24.59016393442623,95.08196721311475,34.42622950819672,68.85245901639344,16.39344262295082,49.18032786885246,24.59016393442623,39.34426229508197,29.508196721311474,27.86885245901639,4.918032786885246,5.885245901639344,1.3442622950819672,5.918032786885246,1.2459016393442623,0.5081967213114754
1100114,43,Jaru,RO,11,86.04651162790698,13.953488372093023,2.3255813953488373,30.23255813953488,44.18604651162791,23.25581395348837,100.0,92.85714285714286,40.476190476190474,23.809523809523807,50.0,42.857142857142854,100.0,76.19047619047619,97.61904761904762,7.142857142857142,97.61904761904762,40.476190476190474,76.19047619047619,40.476190476190474,54.761904761904766,28.57142857142857,9.5,4.285714285714286,10.928571428571429,36.0,1.0714285714285714
1100122,99,Ji-Paraná,RO,11,79.7979797979798,20.2020202020202,1.0101010101010102,42.42424242424242,36.36363636363637,20.2020202020202,91.83673469387756,87.77777777777777,56.12244897959183,32.6530612244898,69.38775510204081,60.204081632653065,100.0,71.42857142857143,98.9795918367347,8.16326530612245,81.63265306122449,51.02040816326531,80.61224489795919,53.06122448979592,66.3265306122449,27.55102040816326,9.193877551020408,2.693877551020408,920.1326530612245,4.153061224489796,1.816326530612245
1100130,39,Machadinho D'Oeste,RO,11,43.58974358974359,56.41025641025641,0.0,15.384615384615385,79.48717948717949,5.128205128205128,84.61538461538461,54.54545454545454,26.923076923076923,19.230769230769234,42.30769230769231,19.230769230769234,100.0,46.15384615384615,100.0,0.0,69.23076923076923,42.30769230769231,76.92307692307693,50.0,23.076923076923077,7.6923076923076925,10.846153846153847,3420.769230769231,5.115384615384615,5.0,0.0
1100148,11,Nova Brasilândia D'Oeste,RO,11,72.72727272727273,27.27272727272727,0.0,36.36363636363637,54.54545454545454,9.090909090909092,100.0,100.0,72.72727272727273,36.36363636363637,81.81818181818183,81.81818181818183,100.0,72.72727272727273,100.0,0.0,81.81818181818183,63.63636363636363,81.81818181818183,54.54545454545454,81.81818181818183,9.090909090909092,9.727272727272727,2.4545454545454546,19.0,4.2727272727272725,0.18181818181818182
1100155,25,Ouro Preto do Oeste,RO,11,88.0,12.0,0.0,28.000000000000004,60.0,12.0,100.0,92.0,64.0,28.000000000000004,76.0,56.00000000000001,100.0,84.0,100.0,4.0,96.0,40.0,76.0,44.0,56.00000000000001,24.0,10.32,3557.76,10.6,1.04,0.24
1100189,31,Pimenta Bueno,RO,11,70.96774193548387,29.03225806451613,0.0,25.806451612903224,61.29032258064516,12.903225806451612,100.0,82.75862068965517,41.37931034482759,13.793103448275861,44.827586206896555,37.93103448275862,100.0,79.3103448275862,100.0,20.689655172413794,89.65517241379311,37.93103448275862,79.3103448275862,51.724137931034484,82.75862068965517,13.793103448275861,8.862068965517242,3068.0344827586205,11.275862068965518,2.3448275862068964,0.034482758620689655
1100205,342,Porto Velho,RO,11,66.66666666666666,33.33333333333333,0.5847953216374269,26.023391812865498,52.92397660818714,20.46783625730994,95.53264604810997,87.41007194244604,53.95189003436426,40.893470790378004,64.26116838487972,37.11340206185567,97.2508591065292,37.11340206185567,97.9381443298969,30.584192439862544,81.44329896907216,47.42268041237113,79.72508591065292,27.147766323024054,64.26116838487972,27.147766323024054,11.515463917525773,2.8831615120274914,313.51202749140896,4.164948453608248,0.8006872852233677
1100254,18,Presidente Médici,RO,11,66.66666666666666,33.33333333333333,0.0,44.44444444444444,50.0,5.555555555555555,100.0,82.35294117647058,76.47058823529412,29.411764705882355,88.23529411764706,64.70588235294117,100.0,64.70588235294117,100.0,5.88235294117647,88.23529411764706,64.70588235294117,88.23529411764706,64.70588235294117,94.11764705882352,17.647058823529413,9.176470588235293,3.764705882352941,10.647058823529411,5.529411764705882,4.0
1100262,3,Rio Crespo,RO,11,100.0,0.0,0.0,33.33333333333333,66.66666666666666,0.0,100.0,100.0,66.66666666666666,0.0,66.66666666666666,33.33333333333333,100.0,100.0,100.0,33.33333333333333,100.0,66.66666666666666,100.0,66.66666666666666,100.0,0.0,10.0,0.6666666666666666,6.333333333333333,0.0,0.0
1100288,30,Rolim de Moura,RO,11,93.33333333333333,6.666666666666667,0.0,40.0,46.666666666666664,13.333333333333334,100.0,80.0,70.0,26.666666666666668,73.33333333333333,66.66666666666666,100.0,90.0,100.0,6.666666666666667,100.0,70.0,90.0,43.333333333333336,90.0,6.666666666666667,13.2,8.1,16.8,2.7333333333333334,0.36666666666666664
1100296,6,Santa Luzia D'Oeste,RO,11,100.0,0.0,0.0,33.33333333333333,50.0,16.666666666666664,100.0,66.66666666666666,50.0,0.0,50.0,33.33333333333333,100.0,100.0,100.0,0.0,100.0,33.33333333333333,66.66666666666666,16.666666666666664,50.0,0.0,10.666666666666666,3.8333333333333335,8.833333333333334,6.666666666666667,1.0
