sigla_uf,municipios_na_amostra,media_pct_alfabetizados_2023,media_pct_alfabetizados_2024,media_variacao_2023_2024_pp,media_gap_meta_2024_pp,pct_municipios_atingiram_meta_2024,media_participacao
AC,21,,43.54714285714286,,,,81.82436789585127
AL,92,45.86521739130435,52.86880434782609,7.0035869565217395,2.218913043478261,55.434782608695656,95.12303747588676
AM,53,48.095652173913045,44.93943396226415,-1.982173913043478,-6.827391304347825,26.08695652173913,85.6769818088845
AP,16,42.41875,49.449375,7.030625000000001,1.4156249999999992,43.75,90.07259788142787
BA,372,37.56521739130435,36.634946236559145,-0.9517119565217389,-7.052853260869565,19.021739130434785,91.94158929383391
CE,169,90.2207100591716,90.66899408284023,0.4482840236686397,11.652366863905327,91.12426035502959,98.6928401982236
ES,72,73.82499999999999,78.42458333333333,4.599583333333334,4.701250000000002,76.38888888888889,92.29795120999461
GO,220,72.68447488584475,80.33436363636365,7.630319634703198,8.424200913242009,80.82191780821918,95.02585944273604
MA,202,61.34129353233831,63.22207920792079,1.9373631840796026,0.845024875621891,52.23880597014925,92.54649481352976
MG,759,62.980510752688176,75.1134255599473,12.05369623655914,10.172217741935485,78.89784946236558,91.34068275015183
MS,73,51.08904109589041,58.56534246575343,7.476301369863013,3.469589041095892,63.013698630136986,92.33078571677741
MT,134,58.46616541353384,65.82179104477612,7.4566917293233095,4.86796992481203,63.1578947368421,89.68289859162475
PA,127,46.290983606557376,48.767716535433074,2.9640983606557376,-2.253524590163934,34.42622950819672,85.01881229939217
PB,210,54.26315789473684,59.270714285714284,5.015693779904307,2.029952153110049,50.717703349282296,91.79810482086044
PE,173,60.24971098265896,65.63335260115606,5.38364161849711,2.476416184971099,61.849710982658955,96.08716892021276
PI,208,60.41201923076923,66.41418269230769,6.002163461538462,5.873028846153847,58.17307692307693,97.03751676256299
PR,372,75.53062330623305,73.70916666666668,-1.6508130081300798,-0.46317073170731543,46.070460704607044,89.23800177573605
RJ,84,55.84024390243902,59.461190476190474,3.139634146341464,-0.7692682926829262,40.243902439024396,83.5912886547448
RN,140,36.13076923076923,42.2385,6.766,0.7263846153846154,50.76923076923077,84.47447856412994
RO,49,64.71428571428571,66.82816326530612,2.1138775510204106,0.27387755102040995,51.02040816326531,89.79491568763464
RS,408,72.93804627249358,52.84166666666667,-19.963753213367607,-19.017557840616966,10.025706940874036,89.19273018862306
SC,243,67.89867841409692,69.11522633744856,1.5081938325991202,0.42977973568282063,55.06607929515418,83.77642650230894
SE,70,29.58,36.942571428571426,7.362571428571428,0.672857142857143,51.42857142857142,93.70253632451083
SG_UF,1,,,,,,
SP,578,60.847818499127406,64.0286678200692,3.2246771378708554,0.9850436300174528,52.18150087260035,91.45585989157875
TO,134,37.995488721804506,46.039402985074624,8.011203007518796,2.4672180451127823,55.639097744360896,88.72925209085369
,0,,,,,,
