ano_avaliacao,codigo_uf,sigla_uf,codigo_municipio,nome_municipio,rede,pct_alfabetizados_2023,pct_alfabetizados_2024,variacao_2023_2024_pp,meta_2024,gap_meta_2024_pp,atingiu_meta_2024,meta_2025,meta_2026,meta_2027,meta_2028,meta_2029,meta_2030,nivel_alfabetizacao,pct_participacao,ranking_amostra_brasil_2024,ranking_amostra_uf_2024
2024.0,43.0,RS,4305504.0,Ciríaco,MUNICIPAL,86.7,85.7,-1.0,80.0,5.700000000000003,1,80.0,80.0,80.0,80.0,80.0,80.0,5,82.35294117647058,622,9
2024.0,31.0,MG,3151404.0,Pitangui,MUNICIPAL,92.1,85.71000000000001,-6.389999999999986,80.0,5.710000000000008,1,80.0,80.0,80.0,80.0,80.0,80.0,5,93.42105263157896,615,150
2024.0,32.0,ES,3205010.0,Sooretama,MUNICIPAL,67.2,70.81,3.6099999999999994,69.28,1.5300000000000011,1,71.27,73.19,75.02,76.77,78.43,80.0,4,91.70212765957449,1868,57
2024.0,31.0,MG,3160900.0,São Brás do Suaçuí,MUNICIPAL,68.4,81.31,12.909999999999997,70.24,11.070000000000007,1,72.04,73.78,75.45,77.04,78.56,80.0,5,93.47826086956522,940,249
2024.0,42.0,SC,4215687.0,Santa Terezinha do Progresso,MUNICIPAL,54.1,95.83,41.73,58.41,37.42,1,62.58,66.56,70.33,73.83,77.06,80.0,5,92.3076923076923,166,6
2024.0,29.0,BA,2906600.0,Candiba,MUNICIPAL,46.7,41.67,-5.030000000000001,52.13,-10.46,0,57.5,62.69,67.61,72.17,76.31,80.0,1,97.5609756097561,4190,113
2024.0,31.0,MG,3143708.0,Morro do Pilar,MUNICIPAL,,61.85,,,,,65.33,68.65,71.8,74.75,77.48,80.0,3,97.14285714285714,2682,660
2024.0,21.0,MA,2112902.0,Vitória do Mearim,MUNICIPAL,49.0,60.19,11.189999999999998,54.07,6.119999999999997,1,59.07,63.89,68.45,72.68,76.54,80.0,3,92.22222222222224,2823,107
2024.0,35.0,SP,3525805.0,Júlio Mesquita,MUNICIPAL,66.8,55.26,-11.54,68.91,-13.649999999999999,0,70.98,72.96,74.86,76.66,78.38,80.0,2,90.74074074074076,3239,413
2024.0,21.0,MA,2112704.0,Vargem Grande,MUNICIPAL,98.9,96.58,-2.3200000000000074,80.0,16.58,1,80.0,80.0,80.0,80.0,80.0,80.0,5,99.81024667931688,136,5
2024.0,41.0,PR,4119657.0,Pitangueiras,MUNICIPAL,94.1,83.19,-10.909999999999997,80.0,3.1899999999999977,1,80.0,80.0,80.0,80.0,80.0,80.0,5,92.10526315789474,794,73
2024.0,41.0,PR,4114708.0,Maria Helena,MUNICIPAL,64.7,49.96,-14.740000000000002,67.2,-17.240000000000002,0,69.61,71.92,74.11,76.19,78.16,80.0,1,88.88888888888889,3645,362
2024.0,31.0,MG,3112604.0,Capinópolis,MUNICIPAL,51.2,73.04,21.840000000000003,55.94,17.10000000000001,1,60.59,65.05,69.27,73.18,76.76,80.0,4,91.05263157894736,1683,455
2024.0,35.0,SP,3544608.0,Sabino,MUNICIPAL,54.4,46.98,-7.420000000000002,58.64,-11.660000000000004,0,62.76,66.71,70.43,73.9,77.09,80.0,1,93.47826086956522,3855,519
2024.0,29.0,BA,2926905.0,Rio do Pires,MUNICIPAL,36.5,15.62,-20.880000000000003,43.13,-27.510000000000005,0,50.01,56.9,63.53,69.68,75.2,80.0,0,80.0,4960,367
2024.0,31.0,MG,3161007.0,São Domingos do Prata,MUNICIPAL,69.1,84.25,15.150000000000006,70.8,13.450000000000003,1,72.5,74.13,75.7,77.2,78.63,80.0,5,92.36641221374046,721,187
