codigo_uf,sigla_uf,codigo_municipio,nome_municipio,pct_alfabetizados,ano
11.0,RO,1101609.0,Theobroma,78.73,2024
11.0,RO,1101708.0,Urupá,70.9,2023
11.0,RO,1101708.0,Urupá,61.28,2024
11.0,RO,1101757.0,Vale do Anari,37.0,2023
11.0,RO,1101757.0,Vale do Anari,55.65,2024
11.0,RO,1101807.0,Vale do Paraíso,55.7,2023
11.0,RO,1101807.0,Vale do Paraíso,44.06,2024
12.0,AC,1200013.0,Acrelândia,,2023
12.0,AC,1200013.0,Acrelândia,59.69,2024
12.0,AC,1200054.0,Assis Brasil,,2023
12.0,AC,1200054.0,Assis Brasil,49.17,2024
12.0,AC,1200104.0,Brasiléia,,2023
12.0,AC,1200104.0,Brasiléia,46.68,2024
12.0,AC,1200138.0,Bujari,,2023
12.0,AC,1200138.0,Bujari,26.69,2024
12.0,AC,1200179.0,Capixaba,,2023
12.0,AC,1200179.0,Capixaba,34.97,2024
12.0,AC,1200203.0,Cruzeiro do Sul,,2023
12.0,AC,1200203.0,Cruzeiro do Sul,42.18,2024
12.0,AC,1200252.0,Epitaciolândia,,2023
12.0,AC,1200252.0,Epitaciolândia,52.28,2024
12.0,AC,1200302.0,Feijó,,2023
12.0,AC,1200302.0,Feijó,53.33,2024
12.0,AC,1200328.0,Jordão,,2023
12.0,AC,1200328.0,Jordão,19.59,2024
12.0,AC,1200336.0,Mâncio Lima,,2023
12.0,AC,1200336.0,Mâncio Lima,38.07,2024
12.0,AC,1200351.0,Marechal Thaumaturgo,,2023
12.0,AC,1200351.0,Marechal Thaumaturgo,62.82,2024
12.0,AC,1200385.0,Plácido de Castro,,2023
12.0,AC,1200385.0,Plácido de Castro,33.78,2024
12.0,AC,1200393.0,Porto Walter,,2023
12.0,AC,1200393.0,Porto Walter,39.79,2024
12.0,AC,1200401.0,Rio Branco,,2023
12.0,AC,1200401.0,Rio Branco,55.64,2024
12.0,AC,1200427.0,Rodrigues Alves,,2023
12.0,AC,1200427.0,Rodrigues Alves,38.92,2024
12.0,AC,1200435.0,Santa Rosa do Purus,,2023
12.0,AC,1200435.0,Santa Rosa do Purus,15.62,2024
12.0,AC,1200450.0,Senador Guiomard,,2023
12.0,AC,1200450.0,Senador Guiomard,43.66,2024
12.0,AC,1200500.0,Sena Madureira,,2023
12.0,AC,1200500.0,Sena Madureira,64.83,2024
12.0,AC,1200609.0,Tarauacá,,2023
12.0,AC,1200609.0,Tarauacá,45.18,2024
12.0,AC,1200708.0,Xapuri,,2023
12.0,AC,1200708.0,Xapuri,51.91,2024
12.0,AC,1200807.0,Porto Acre,,2023
12.0,AC,1200807.0,Porto Acre,39.69,2024
13.0,AM,1300029.0,Alvarães,39.9,2023
13.0,AM,1300029.0,Alvarães,58.47,2024
13.0,AM,1300060.0,Amaturá,62.7,2023
13.0,AM,1300060.0,Amaturá,64.58,2024
13.0,AM,1300086.0,Anamã,33.3,2023
13.0,AM,1300086.0,Anamã,53.48,2024
13.0,AM,1300102.0,Anori,76.0,2023
13.0,AM,1300102.0,Anori,77.45,2024
13.0,AM,1300144.0,Apuí,56.8,2023
13.0,AM,1300144.0,Apuí,49.25,2024
13.0,AM,1300201.0,Atalaia do Norte,54.2,2023
13.0,AM,1300201.0,Atalaia do Norte,84.07000000000001,2024
13.0,AM,1300409.0,Barcelos,48.6,2023
13.0,AM,1300409.0,Barcelos,38.21,2024
13.0,AM,1300508.0,Barreirinha,29.7,2023
13.0,AM,1300508.0,Barreirinha,24.4,2024
13.0,AM,1300607.0,Benjamin Constant,,2023
13.0,AM,1300607.0,Benjamin Constant,34.300000000000004,2024
13.0,AM,1300680.0,Boa Vista do Ramos,26.2,2023
13.0,AM,1300680.0,Boa Vista do Ramos,31.41,2024
13.0,AM,1300706.0,Boca do Acre,59.1,2023
13.0,AM,1300706.0,Boca do Acre,44.78,2024
13.0,AM,1300805.0,Borba,28.4,2023
13.0,AM,1300805.0,Borba,22.82,2024
13.0,AM,1300839.0,Caapiranga,,2023
13.0,AM,1300839.0,Caapiranga,21.72,2024
13.0,AM,1301001.0,Carauari,47.4,2023
13.0,AM,1301001.0,Carauari,49.19,2024
13.0,AM,1301159.0,Careiro da Várzea,38.0,2023
13.0,AM,1301159.0,Careiro da Várzea,27.35,2024
13.0,AM,1301209.0,Coari,38.8,2023
13.0,AM,1301209.0,Coari,32.72,2024
13.0,AM,1301308.0,Codajás,43.7,2023
13.0,AM,1301308.0,Codajás,40.59,2024
13.0,AM,1301506.0,Envira,,2023
13.0,AM,1301506.0,Envira,19.3,2024
13.0,AM,1301654.0,Guajará,61.9,2023
13.0,AM,1301654.0,Guajará,54.66,2024
13.0,AM,1301704.0,Humaitá,50.3,2023
13.0,AM,1301704.0,Humaitá,57.23,2024
13.0,AM,1301803.0,Ipixuna,,2023
13.0,AM,1301803.0,Ipixuna,63.28,2024
13.0,AM,1301852.0,Iranduba,45.2,2023
13.0,AM,1301852.0,Iranduba,34.35,2024
13.0,AM,1301902.0,Itacoatiara,46.3,2023
13.0,AM,1301902.0,Itacoatiara,42.66,2024
13.0,AM,1302108.0,Japurá,77.3,2023
13.0,AM,1302108.0,Japurá,91.93,2024
13.0,AM,1302207.0,Juruá,40.6,2023
13.0,AM,1302207.0,Juruá,44.2,2024
13.0,AM,1302306.0,Jutaí,36.6,2023
13.0,AM,1302306.0,Jutaí,30.91,2024
13.0,AM,1302405.0,Lábrea,64.3,2023
13.0,AM,1302405.0,Lábrea,66.7,2024
13.0,AM,1302504.0,Manacapuru,44.0,2023
13.0,AM,1302504.0,Manacapuru,37.28,2024
13.0,AM,1302553.0,Manaquiri,47.0,2023
13.0,AM,1302553.0,Manaquiri,20.56,2024
13.0,AM,1302603.0,Manaus,52.2,2023
13.0,AM,1302603.0,Manaus,50.13,2024
13.0,AM,1302702.0,Manicoré,51.8,2023
13.0,AM,1302702.0,Manicoré,57.02,2024
13.0,AM,1302801.0,Maraã,21.0,2023
13.0,AM,1302801.0,Maraã,48.41,2024
13.0,AM,1302900.0,Maués,53.2,2023
13.0,AM,1302900.0,Maués,45.97,2024
13.0,AM,1303007.0,Nhamundá,64.7,2023
13.0,AM,1303007.0,Nhamundá,57.1,2024
13.0,AM,1303106.0,Nova Olinda do Norte,51.4,2023
13.0,AM,1303106.0,Nova Olinda do Norte,32.8,2024
13.0,AM,1303205.0,Novo Airão,75.9,2023
13.0,AM,1303205.0,Novo Airão,57.09,2024
13.0,AM,1303304.0,Novo Aripuanã,84.0,2023
13.0,AM,1303304.0,Novo Aripuanã,50.99,2024
13.0,AM,1303403.0,Parintins,51.9,2023
13.0,AM,1303403.0,Parintins,51.36,2024
13.0,AM,1303502.0,Pauini,39.0,2023
13.0,AM,1303502.0,Pauini,48.43,2024
13.0,AM,1303536.0,Presidente Figueiredo,34.2,2023
13.0,AM,1303536.0,Presidente Figueiredo,35.31,2024
13.0,AM,1303569.0,Rio Preto da Eva,35.3,2023
13.0,AM,1303569.0,Rio Preto da Eva,46.76,2024
13.0,AM,1303601.0,Santa Isabel do Rio Negro,26.7,2023
13.0,AM,1303601.0,Santa Isabel do Rio Negro,36.02,2024
13.0,AM,1303700.0,Santo Antônio do Içá,59.7,2023
13.0,AM,1303700.0,Santo Antônio do Içá,37.94,2024
13.0,AM,1303809.0,São Gabriel da Cachoeira,36.5,2023
13.0,AM,1303809.0,São Gabriel da Cachoeira,31.59,2024
13.0,AM,1303908.0,São Paulo de Olivença,33.1,2023
13.0,AM,1303908.0,São Paulo de Olivença,32.06,2024
13.0,AM,1303957.0,São Sebastião do Uatumã,51.8,2023
13.0,AM,1303957.0,São Sebastião do Uatumã,29.46,2024
13.0,AM,1304005.0,Silves,,2023
13.0,AM,1304005.0,Silves,38.73,2024
13.0,AM,1304062.0,Tabatinga,41.5,2023
13.0,AM,1304062.0,Tabatinga,37.75,2024
13.0,AM,1304104.0,Tapauá,49.3,2023
13.0,AM,1304104.0,Tapauá,51.81,2024
13.0,AM,1304203.0,Tefé,,2023
13.0,AM,1304203.0,Tefé,36.78,2024
13.0,AM,1304237.0,Tonantins,45.9,2023
13.0,AM,1304237.0,Tonantins,30.02,2024
13.0,AM,1304302.0,Urucará,57.0,2023
13.0,AM,1304302.0,Urucará,73.95,2024
13.0,AM,1304401.0,Urucurituba,,2023
13.0,AM,1304401.0,Urucurituba,46.46,2024
15.0,PA,1500131.0,Abel Figueiredo,59.8,2023
15.0,PA,1500131.0,Abel Figueiredo,54.88,2024
15.0,PA,1500206.0,Acará,39.0,2023
15.0,PA,1500206.0,Acará,41.73,2024
15.0,PA,1500305.0,Afuá,30.8,2023
15.0,PA,1500305.0,Afuá,38.18,2024
15.0,PA,1500347.0,Água Azul do Norte,27.8,2023
15.0,PA,1500347.0,Água Azul do Norte,51.4,2024
15.0,PA,1500404.0,Alenquer,36.4,2023
15.0,PA,1500404.0,Alenquer,34.75,2024
15.0,PA,1500503.0,Almeirim,30.7,2023
15.0,PA,1500503.0,Almeirim,38.92,2024
15.0,PA,1500602.0,Altamira,46.7,2023
15.0,PA,1500602.0,Altamira,45.32,2024
15.0,PA,1500701.0,Anajás,26.8,2023
15.0,PA,1500701.0,Anajás,33.83,2024
15.0,PA,1500800.0,Ananindeua,59.0,2023
15.0,PA,1500800.0,Ananindeua,52.74,2024
15.0,PA,1500859.0,Anapu,48.8,2023
15.0,PA,1500859.0,Anapu,48.45,2024
15.0,PA,1500909.0,Augusto Corrêa,38.6,2023
15.0,PA,1500909.0,Augusto Corrêa,43.99,2024
15.0,PA,1500958.0,Aurora do Pará,34.0,2023
15.0,PA,1500958.0,Aurora do Pará,55.54,2024
15.0,PA,1501006.0,Aveiro,57.2,2023
15.0,PA,1501006.0,Aveiro,64.37,2024
15.0,PA,1501105.0,Bagre,46.7,2023
15.0,PA,1501105.0,Bagre,53.31,2024
15.0,PA,1501204.0,Baião,27.5,2023
15.0,PA,1501204.0,Baião,38.16,2024
15.0,PA,1501303.0,Barcarena,46.6,2023
15.0,PA,1501303.0,Barcarena,39.5,2024
15.0,PA,1501402.0,Belém,48.2,2023
15.0,PA,1501402.0,Belém,46.08,2024
15.0,PA,1501451.0,Belterra,60.6,2023
15.0,PA,1501451.0,Belterra,57.61,2024
15.0,PA,1501501.0,Benevides,60.6,2023
15.0,PA,1501501.0,Benevides,65.29,2024
15.0,PA,1501576.0,Bom Jesus do Tocantins,58.1,2023
15.0,PA,1501576.0,Bom Jesus do Tocantins,51.82,2024
15.0,PA,1501600.0,Bonito,37.0,2023
15.0,PA,1501600.0,Bonito,32.2,2024
15.0,PA,1501709.0,Bragança,42.7,2023
15.0,PA,1501709.0,Bragança,37.0,2024
15.0,PA,1501758.0,Brejo Grande do Araguaia,61.6,2023
15.0,PA,1501758.0,Brejo Grande do Araguaia,75.7,2024
15.0,PA,1501782.0,Breu Branco,31.2,2023
15.0,PA,1501782.0,Breu Branco,50.55,2024
15.0,PA,1501808.0,Breves,44.0,2023
15.0,PA,1501808.0,Breves,55.58,2024
15.0,PA,1501907.0,Bujaru,51.4,2023
15.0,PA,1501907.0,Bujaru,51.61,2024
15.0,PA,1501956.0,Cachoeira do Piriá,47.7,2023
15.0,PA,1501956.0,Cachoeira do Piriá,52.04,2024
15.0,PA,1502152.0,Canaã dos Carajás,62.1,2023
15.0,PA,1502152.0,Canaã dos Carajás,65.12,2024
15.0,PA,1502202.0,Capanema,62.0,2023
15.0,PA,1502202.0,Capanema,59.49,2024
15.0,PA,1502301.0,Capitão Poço,51.0,2023
15.0,PA,1502301.0,Capitão Poço,48.98,2024
15.0,PA,1502400.0,Castanhal,,2023
15.0,PA,1502400.0,Castanhal,32.97,2024
15.0,PA,1502509.0,Chaves,44.8,2023
15.0,PA,1502509.0,Chaves,74.09,2024
15.0,PA,1502608.0,Colares,54.4,2023
15.0,PA,1502608.0,Colares,37.22,2024
15.0,PA,1502707.0,Conceição do Araguaia,38.7,2023
15.0,PA,1502707.0,Conceição do Araguaia,50.69,2024
15.0,PA,1502756.0,Concórdia do Pará,40.6,2023
15.0,PA,1502756.0,Concórdia do Pará,54.24,2024
15.0,PA,1502764.0,Cumaru do Norte,50.1,2023
15.0,PA,1502764.0,Cumaru do Norte,45.2,2024
15.0,PA,1502772.0,Curionópolis,50.8,2023
15.0,PA,1502772.0,Curionópolis,72.88,2024
